Steuergruppe,Technik,ID,StrA,StrB,StrC,StrD,NbW,NbX,NbY,NbZ,Lat,Long
-,Siemens,24010,Annette-von-Droste-Hülshoff-Straße,Tilbecker Straße,Pienersallee,,24140,24020,,,51.954139,7.532458
-,Swarco,24020,Alter Gemeindeplatz,Annette-von-Droste-Hülshoff-Straße,Auf dem Dorn,,24010,24100,,,51.955548,7.532383
-,-,24030,Roxeler Straße,Dingbängerweg,,,16290,24130,,,51.952614,7.553038
-,Siemens,24100,Havixbecker Straße,-,,,24020,24120,,,51.955164,7.534116
-,Siemens,24120,Roxeler Straße,Im Seihof,Havixbecker Straße,Dorffeldstraße,24100,24130,,,51.954478,7.535681
-,Swarco,24130,Roxeler Straße,Schelmenstiege,,,24120,24030,,,51.955164,7.541582
-,Swarco,24140,Tilbecker Straße,-,,,24010,,,,51.953761,7.529060
-,-,25010,Hülshoffstraße,Von-Schonebeck-Ring,,,25020,25030,,,51.997439,7.554958
-,-,25020,Hülshoffstraße,Altenberger Straße,Hägerstraße,,25100,25010,,,52.000048,7.556536
-,Swarco,25030,Hülshoffstraße,Von-Schonebeck-Ring,Isolde-Kurz-Straße,,25010,25040,,,51.993896,7.548363
-,-,25040,Rüschhausweg,Hülshoffstraße,,,25030,,,,51.988372,7.539664
-,Swarco,25100,Altenberger Straße,,,,25020,25110,,,51.998981,7.560186
-,Swarco,25110,Altenberger Straße,,,,25100,,,,51.997728,7.562805
-,-,26010,Sprakeler Straße,,,,26020,02100,,,52.031932,7.620579
-,-,26020,Aldruper Straße,Gimbter Straße,,,26010,,,,52.043584,7.621200
-,-,27010,Warendorfer Straße,Alter Mühlenweg,Handorfer Straße,,27100,27140,,,51.976568,7.705183
-,-,27020,Sudmühlenstraße,Schiffahrter Damm,,,27030,27050,,,51.999771,7.670404
-,Swarco,27030,Sudmühlenstraße,Dyckburgstraße,,,27020,27100,,,51.993080,7.687456
-,-,27040,Schiffahrter Damm,Königsberger Straße,,,27050,27060,05121,,51.993103,7.666002
-,-,27050,Schiffahrter Damm,An der Alten Ziegelei,,,27020,27040,,,51.996738,7.668300
-,-,27060,Schiffahrter Damm,An der Kleimannbrücke,Rudolf-Diesel-Straße,,27040,,,,51.990288,7.664255
-,Siemens,27100,Handorfer Straße,Patronillaplatz,,,27010,27030,,,51.987917,7.698946
16,Swarco,27110,Mondstraße,An der Konradkirche,,,06210,27120,,,51.963118,7.676036
16,Siemens,27120,Mondstraße,Pleistermühlenweg,,,27130,27110,,,51.961324,7.675532
16,Siemens,27130,Mondstraße,-,,,27120,27150,,,51.956196,7.677074
-,-,27140,Warendorfer Straße,Hugerlandshofweg,Pleistermühlenweg,,27010,10050,,,51.973555,7.693625
16,Siemens,27150,Mondstraße,Vischeringweg,Bretanoweg,,27130,09100,,,51.952769,7.676659
-,Siemens,28010,Zumbuschstraße,Hiltruper Straße,Petersheide,,28120,,,,51.911891,7.722313
-,Swarco,28020,Am Steintor,Hiltruper Straße,,,28130,,,,51.915818,7.727328
-,-,28030,Freckenhorster Straße,Münsterstraße,,,09110,28040,,,51.938066,7.712679
-,-,28040,Freckenhorster Straße,Telgter Straße,,,-,,,,51.929570,7.754068
-,-,28050,L585,,,,28060,,,,51.917567,7.712709
-,-,28060,L585,Eschstraße,,,28050,28130,,,51.920742,7.713390
-,Swarco,28110,Hofstraße,,,,-,,,,51.916629,7.733596
-,Siemens,28120,Hiltruper Straße,Von-Holte-Straße,Buxtrup,,28010,,,,51.911258,7.715774
-,Siemens,28130,Münsterstraße,Eschstraße,Am Borggarten,,28020,,,,51.921295,7.728334
-,-,29010,Albersloher Weg,Hiltruper Straße,Osttor,,29120,21050,,,51.910150,7.689384
17,Siemens,29100,Albersloher Weg,Homannstraße,,,08140,29110,,,51.918964,7.677960
17,Siemens,29110,Albersloher Weg,Am Blaukreuzwäldchen,,,29100,29120,,,51.915211,7.681999
-,Swarco,29120,Albersloher Weg,Am Schütthook,,,29110,29010,,,51.913619,7.683936
